Filename,Stmts,Miss,Cover,Missing
phase-1/easy/eval-112/gemini/generated_code.py,6,0,100.0,""
phase-1/easy/eval-112/gpt/generated_code.py,6,0,100.0,""
phase-1/easy/eval-160/gemini/generated_code.py,22,5,77.27,"40,42,47,59,81"
phase-1/easy/eval-160/gpt/generated_code.py,15,0,100.0,""
phase-1/easy/eval-163/gemini/generated_code.py,10,0,100.0,""
phase-1/easy/eval-163/gpt/generated_code.py,9,7,22.22,"20,21,22,23,25,26,29"
phase-1/easy/eval-17/gemini/generated_code.py,9,0,100.0,""
phase-1/easy/eval-17/gpt/generated_code.py,9,0,100.0,""
phase-1/easy/eval-22/gemini/generated_code.py,3,0,100.0,""
phase-1/easy/eval-22/gpt/generated_code.py,6,0,100.0,""
phase-1/easy/eval-29/gemini/generated_code.py,3,0,100.0,""
phase-1/easy/eval-29/gpt/generated_code.py,8,0,100.0,""
phase-1/easy/eval-30/gemini/generated_code.py,5,0,100.0,""
phase-1/easy/eval-30/gpt/generated_code.py,7,0,100.0,""
phase-1/easy/eval-34/gemini/generated_code.py,7,0,100.0,""
phase-1/easy/eval-34/gpt/generated_code.py,6,0,100.0,""
phase-1/easy/eval-4/gemini/generated_code.py,9,0,100.0,""
phase-1/easy/eval-4/gpt/generated_code.py,8,0,100.0,""
phase-1/easy/eval-91/gemini/generated_code.py,10,0,100.0,""
phase-1/easy/eval-91/gpt/generated_code.py,7,0,100.0,""
phase-1/hard/eval-1/gemini/generated_code.py,31,2,93.55,"6,7"
phase-1/hard/eval-1/gpt/generated_code.py,20,1,95.0,"24"
phase-1/hard/eval-105/gemini/generated_code.py,31,1,96.77,"9"
phase-1/hard/eval-105/gpt/generated_code.py,8,0,100.0,""
phase-1/hard/eval-124/gemini/generated_code.py,28,2,92.86,"63,66"
phase-1/hard/eval-124/gpt/generated_code.py,16,1,93.75,"30"
phase-1/hard/eval-127/gemini/generated_code.py,24,3,87.5,"10,15,16"
phase-1/hard/eval-127/gpt/generated_code.py,24,10,58.33,"7,8,9,10,11,12,13,14,15,16"
phase-1/hard/eval-129/gemini/generated_code.py,29,0,100.0,""
phase-1/hard/eval-129/gpt/generated_code.py,32,2,93.75,"49,62"
phase-1/hard/eval-132/gemini/generated_code.py,13,0,100.0,""
phase-1/hard/eval-132/gpt/generated_code.py,17,0,100.0,""
phase-1/hard/eval-140/gemini/generated_code.py,13,0,100.0,""
phase-1/hard/eval-140/gpt/generated_code.py,3,0,100.0,""
phase-1/hard/eval-81/gemini/generated_code.py,32,1,96.88,"62"
phase-1/hard/eval-81/gpt/generated_code.py,31,0,100.0,""
phase-1/hard/eval-95/gemini/generated_code.py,16,0,100.0,""
phase-1/hard/eval-95/gpt/generated_code.py,8,7,12.5,"21,22,25,26,29,32,34"
phase-1/hard/eval-99/gemini/generated_code.py,19,0,100.0,""
phase-1/hard/eval-99/gpt/generated_code.py,15,2,86.67,"25,26"
phase-1/medium/eval-109/gemini/generated_code.py,15,0,100.0,""
phase-1/medium/eval-109/gpt/generated_code.py,18,0,100.0,""
phase-1/medium/eval-125/gemini/generated_code.py,14,0,100.0,""
phase-1/medium/eval-125/gpt/generated_code.py,11,0,100.0,""
phase-1/medium/eval-135/gemini/generated_code.py,11,0,100.0,""
phase-1/medium/eval-135/gpt/generated_code.py,5,0,100.0,""
phase-1/medium/eval-144/gemini/generated_code.py,13,0,100.0,""
phase-1/medium/eval-144/gpt/generated_code.py,9,0,100.0,""
phase-1/medium/eval-146/gemini/generated_code.py,13,0,100.0,""
phase-1/medium/eval-146/gpt/generated_code.py,9,0,100.0,""
phase-1/medium/eval-19/gemini/generated_code.py,15,1,93.33,"51"
phase-1/medium/eval-19/gpt/generated_code.py,16,0,100.0,""
phase-1/medium/eval-6/gemini/generated_code.py,25,1,96.0,"4"
phase-1/medium/eval-6/gpt/generated_code.py,14,0,100.0,""
phase-1/medium/eval-61/gemini/generated_code.py,11,0,100.0,""
phase-1/medium/eval-61/gpt/generated_code.py,11,1,90.91,"24"
phase-1/medium/eval-64/gemini/generated_code.py,14,0,100.0,""
phase-1/medium/eval-64/gpt/generated_code.py,13,1,92.31,"22"
phase-1/medium/eval-8/gemini/generated_code.py,9,0,100.0,""
phase-1/medium/eval-8/gpt/generated_code.py,8,0,100.0,""
